n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1972,Coahuila,05,Mujeres,610522,620201
1972,Coahuila,05,Total,1234551,1253604
1972,Colima,06,Hombres,135517,137874
1972,Colima,06,Mujeres,133484,135839
1972,Colima,06,Total,269001,273713
1972,Durango,10,Hombres,521400,526497
1972,Durango,10,Mujeres,502442,507978
1972,Durango,10,Total,1023842,1034475
1972,Estado de México,15,Hombres,2304148,2384548
1972,Estado de México,15,Mujeres,2263376,2344289
1972,Estado de México,15,Total,4567524,4728837
1972,Guanajuato,11,Hombres,1261646,1278227
1972,Guanajuato,11,Mujeres,1249903,1267263
1972,Guanajuato,11,Total,2511549,2545490
1972,Guerrero,12,Hombres,903046,914813
1972,Guerrero,12,Mujeres,899763,911061
1972,Guerrero,12,Total,1802809,1825874
1972,Hidalgo,13,Hombres,667157,675148
1972,Hidalgo,13,Mujeres,657711,665151
1972,Hidalgo,13,Total,1324868,1340299
1972,Jalisco,14,Hombres,1818960,1842469
1972,Jalisco,14,Mujeres,1848901,1873932
1972,Jalisco,14,Total,3667861,3716401
1972,Michoacán,16,Hombres,1290788,1303188
1972,Michoacán,16,Mujeres,1278055,1291623
1972,Michoacán,16,Total,2568843,2594811
1972,Morelos,17,Hombres,350140,357310
1972,Morelos,17,Mujeres,349845,357086
1972,Morelos,17,Total,699985,714396
1972,Nacional,00,Hombres,26982278,27390991
1972,Nacional,00,Mujeres,26953895,27367705
1972,Nacional,00,Total,53936173,54758696
1972,Nayarit,18,Hombres,304209,308277
1972,Nayarit,18,Mujeres,294140,298196
1972,Nayarit,18,Total,598349,606473
1972,Nuevo León,19,Hombres,951101,968591
1972,Nuevo León,19,Mujeres,937733,955213
1972,Nuevo León,19,Total,1888834,1923804
1972,Oaxaca,20,Hombres,1117797,1126452
1972,Oaxaca,20,Mujeres,1126335,1134174
1972,Oaxaca,20,Total,2244132,2260626
1972,Puebla,21,Hombres,1412352,1430974
1972,Puebla,21,Mujeres,1420364,1439378
1972,Puebla,21,Total,2832716,2870352
1972,Querétaro,22,Hombres,277184,282787
1972,Querétaro,22,Mujeres,273801,279332
1972,Querétaro,22,Total,550985,562119
1972,Quintana Roo,23,Hombres,57922,60913
1972,Quintana Roo,23,Mujeres,53246,56033
1972,Quintana Roo,23,Total,111168,116946
1972,San Luis Potosí,24,Hombres,720952,729733
