cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
5007,D0,22,2017-05-15,2018-03-31,320 days
5007,D1,11,2021-08-31,2022-01-31,153 days
5007,D2,10,2022-12-31,2023-05-31,151 days
5007,D3,4,2012-01-31,2012-04-30,90 days
5007,D4,3,2011-10-31,2011-12-31,61 days
5007,Sin sequia,49,2013-09-30,2015-11-30,791 days
5008,D0,7,2020-06-15,2020-09-15,92 days
5008,D1,8,2012-06-30,2013-01-31,215 days
5008,D2,10,2022-02-28,2022-07-15,137 days
5008,D3,3,2011-03-31,2011-05-31,61 days
5008,D4,2,2011-10-31,2011-11-30,30 days
5008,Sin sequia,67,2014-07-31,2017-04-30,1004 days
5009,D0,11,2008-10-31,2009-08-31,304 days
5009,D1,14,2020-08-31,2021-03-15,196 days
5009,D2,14,2021-07-15,2022-01-31,200 days
5009,D3,6,2012-01-31,2012-06-30,151 days
5009,D4,2,2011-11-30,2011-12-31,31 days
5009,Sin sequia,22,2003-10-31,2005-08-31,670 days
5010,D0,7,2008-12-31,2009-06-30,181 days
5010,D1,10,2012-07-31,2013-04-30,273 days
5010,D2,8,2022-04-30,2022-08-15,107 days
5010,D3,5,2011-12-31,2012-04-30,121 days
5010,D4,2,2011-10-31,2011-11-30,30 days
5010,Sin sequia,52,2013-06-30,2015-11-30,883 days
5011,D0,6,2012-11-30,2013-04-30,151 days
5011,D1,8,2012-03-31,2012-10-31,214 days
5011,D2,7,2023-01-31,2023-05-15,104 days
5011,D3,6,2011-09-30,2012-02-29,152 days
5011,Sin sequia,90,2013-05-31,2017-06-15,1476 days
5012,D0,14,2017-02-28,2017-09-15,199 days
5012,D1,9,2012-04-30,2012-12-31,245 days
5012,D2,12,2022-09-15,2023-02-28,166 days
5012,D3,6,2006-01-31,2006-06-30,150 days
5012,D4,4,2011-09-30,2011-12-31,92 days
5012,Sin sequia,21,2003-07-31,2005-05-31,670 days
5013,D0,4,2008-11-30,2009-02-28,90 days
5013,D1,7,2024-01-31,2024-04-30,90 days
5013,D2,12,2022-09-15,2023-02-28,166 days
5013,D3,5,2006-03-31,2006-07-31,122 days
5013,D4,4,2011-08-31,2011-11-30,91 days
5013,Sin sequia,21,2003-07-31,2005-05-31,670 days
5014,D0,10,2023-05-31,2023-10-15,137 days
5014,D1,5,2012-03-31,2012-07-31,122 days
5014,D2,15,2022-09-15,2023-04-30,227 days
5014,D3,8,2022-03-15,2022-06-30,107 days
5014,D4,3,2011-04-30,2011-06-30,61 days
5014,Sin sequia,19,2003-07-31,2005-03-31,609 days
5015,D0,12,2023-07-15,2023-12-31,169 days
5015,D1,6,2012-05-31,2012-10-31,153 days
5015,D2,6,2023-01-31,2023-04-30,89 days
5015,D3,6,2022-02-28,2022-05-15,76 days
5015,D4,3,2011-09-30,2011-11-30,61 days
5015,Sin sequia,30,2003-01-31,2005-08-31,943 days
5016,D0,8,2012-10-31,2013-05-31,212 days
5016,D1,10,2020-11-30,2021-04-15,136 days
5016,D2,10,2022-02-28,2022-07-15,137 days
5016,D3,3,2011-03-31,2011-05-31,61 days
5016,D4,4,2011-10-31,2012-01-31,92 days
5016,Sin sequia,74,2014-04-15,2017-04-30,1111 days
5017,D0,12,2008-09-30,2009-08-31,335 days
5017,D1,5,2008-01-31,2008-05-31,121 days
5017,D2,6,2003-01-31,2003-06-30,150 days
5017,D3,4,2012-06-30,2012-09-30,92 days
5017,D4,3,2011-10-31,2011-12-31,61 days
5017,Sin sequia,26,2003-09-30,2005-11-30,792 days
5018,D0,7,2008-12-31,2009-06-30,181 days
5018,D1,7,2012-07-31,2013-01-31,184 days
5018,D2,8,2022-04-30,2022-08-15,107 days
5018,D3,6,2011-11-30,2012-04-30,152 days
