cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
05026,Sin sequia,25,2003-06-30,2005-08-31,793
05027,D0,6,2005-12-31,2006-05-31,151
05027,D1,5,2008-02-29,2008-06-30,122
05027,D2,9,2022-04-30,2022-08-31,123
05027,D3,6,2011-09-30,2012-02-29,152
05027,Sin sequia,30,2003-01-31,2005-08-31,943
05028,D0,4,2013-06-30,2013-09-30,92
05028,D1,9,2012-09-30,2013-05-31,243
05028,D2,7,2020-02-15,2020-05-15,90
05028,D3,10,2022-03-15,2022-07-31,138
05028,D4,4,2011-09-30,2011-12-31,92
05028,Sin sequia,24,2003-07-31,2005-08-31,762
05029,D0,9,2008-10-31,2009-06-30,242
05029,D1,13,2020-12-15,2021-06-15,182
05029,D2,8,2022-04-30,2022-08-15,107
05029,D3,5,2011-12-31,2012-04-30,121
05029,D4,2,2011-10-31,2011-11-30,30
05029,Sin sequia,52,2013-06-30,2015-11-30,883
05030,D0,5,2012-03-31,2012-07-31,122
05030,D1,4,2008-03-31,2008-06-30,91
05030,D2,8,2023-02-28,2023-06-30,122
05030,D3,4,2011-09-30,2011-12-31,92
05030,Sin sequia,55,2013-05-31,2015-12-31,944
05031,D0,6,2012-08-31,2013-01-31,153
05031,D1,10,2021-02-15,2021-06-30,135
05031,D2,5,2020-11-30,2021-01-31,62
05031,D3,8,2022-03-31,2022-07-15,106
05031,D4,4,2011-10-31,2012-01-31,92
05031,Sin sequia,86,2013-06-30,2017-04-30,1400
05032,D0,4,2012-05-31,2012-08-31,92
05032,D1,9,2009-04-30,2009-12-31,245
05032,D2,4,2018-06-30,2018-08-15,46
05032,D3,10,2022-03-31,2022-08-15,137
05032,D4,4,2011-09-30,2011-12-31,92
05032,Sin sequia,24,2003-07-31,2005-08-31,762
05033,D0,11,2008-09-30,2009-07-31,304
05033,D1,4,2008-02-29,2008-05-31,92
05033,D2,6,2003-01-31,2003-06-30,150
05033,D3,6,2012-01-31,2012-06-30,151
05033,D4,3,2011-10-31,2011-12-31,61
05033,Sin sequia,48,2013-09-30,2015-11-15,776
05034,D0,9,2007-09-30,2008-05-31,244
05034,D1,5,2006-01-31,2006-05-31,120
05034,D2,27,2020-12-31,2022-01-31,396
05034,D3,9,2024-01-15,2024-05-15,121
05034,D4,6,2011-09-30,2012-02-29,152
05034,Sin sequia,22,2003-10-31,2005-08-31,670
05035,D0,22,2019-06-30,2020-05-15,320
05035,D1,6,2003-01-31,2003-06-30,150
05035,D2,6,2023-02-15,2023-05-15,89
05035,D3,7,2012-01-31,2012-07-31,182
05035,D4,3,2011-10-31,2011-12-31,61
05035,Sin sequia,26,2003-09-30,2005-11-30,792
05036,D0,12,2008-09-30,2009-08-31,335
05036,D1,6,2003-01-31,2003-06-30,150
05036,D2,7,2023-01-31,2023-05-15,104
05036,D3,6,2012-01-31,2012-06-30,151
05036,D4,3,2011-10-31,2011-12-31,61
05036,Sin sequia,26,2003-09-30,2005-11-30,792
05037,D0,3,2007-11-30,2008-01-31,62
05037,D1,4,2009-04-30,2009-07-31,92
05037,D2,14,2019-10-31,2020-05-15,197
05037,D3,12,2022-02-28,2022-08-15,168
05037,D4,4,2011-09-30,2011-12-31,92
05037,Sin sequia,24,2003-07-31,2005-08-31,762
05038,D0,9,2017-05-15,2017-09-15,123
05038,D1,13,2012-09-30,2013-09-30,365
05038,D2,13,2019-11-15,2020-05-15,182
05038,D3,8,2011-07-31,2012-02-29,213
05038,D4,3,2011-04-30,2011-06-30,61
05038,Sin sequia,19,2003-07-31,2005-03-31,609
06001,D0,11,2004-08-31,2005-06-30,303
06001,D1,6,2009-03-31,2009-08-31,153
06001,D2,8,2023-02-15,2023-06-15,120
06001,D3,3,2021-05-15,2021-06-15,31
06001,Sin sequia,44,2013-08-31,2015-08-31,730
06002,D0,11,2004-08-31,2005-06-30,303
06002,D1,6,2009-03-31,2009-08-31,153
06002,D2,7,2023-02-15,2023-05-31,105
06002,D3,2,2007-06-30,2007-07-31,31
06002,Sin sequia,43,2013-09-30,2015-08-31,700
06003,D0,6,2004-08-31,2005-01-31,153
06003,D1,6,2009-03-31,2009-08-31,153
06003,D2,10,2023-04-30,2023-09-15,138
06003,D3,1,2007-06-30,2007-06-30,0
06003,Sin sequia,44,2013-08-31,2015-08-31,730
06004,D0,11,2004-08-31,2005-06-30,303
06004,D1,6,2009-03-31,2009-08-31,153
06004,D2,8,2023-02-15,2023-06-15,120
06004,D3,3,2021-05-15,2021-06-15,31
06004,Sin sequia,43,2013-08-31,2015-08-15,714
06005,D0,6,2004-08-31,2005-01-31,153
06005,D1,6,2009-03-31,2009-08-31,153
06005,D2,6,2023-06-30,2023-09-15,77
06005,D3,1,2007-06-30,2007-06-30,0
06005,Sin sequia,38,2013-09-30,2015-06-15,623
06006,D0,11,2004-08-31,2005-06-30,303
06006,D1,6,2009-03-31,2009-08-31,153
06006,D2,8,2023-02-15,2023-06-15,120
06006,D3,2,2007-06-30,2007-07-31,31
06006,Sin sequia,43,2013-09-30,2015-08-31,700
06007,D0,12,2004-08-31,2005-07-31,334
06007,D1,6,2009-03-31,2009-08-31,153
06007,D2,7,2023-02-28,2023-06-15,107
06007,D3,3,2021-05-15,2021-06-15,31
06007,Sin sequia,39,2013-08-31,2015-06-15,653
06008,D0,21,2016-10-15,2017-08-15,304
06008,D1,6,2009-03-31,2009-08-31,153
06008,D2,5,2023-07-15,2023-09-15,62
06008,D3,2,2021-05-31,2021-06-15,15
06008,Sin sequia,23,2013-08-31,2014-10-15,410
06009,D0,11,2004-08-31,2005-06-30,303
06009,D1,6,2009-03-31,2009-08-31,153
06009,D2,8,2023-02-15,2023-06-15,120
06009,D3,2,2007-06-30,2007-07-31,31
06009,Sin sequia,43,2013-09-30,2015-08-31,700
06010,D0,11,2004-08-31,2005-06-30,303
06010,D1,6,2009-03-31,2009-08-31,153
06010,D2,11,2023-03-31,2023-09-15,168
06010,D3,2,2021-05-31,2021-06-15,15
06010,Sin sequia,44,2013-08-31,2015-08-31,730
07001,D0,6,2008-10-31,2009-03-31,151
07001,D1,11,2015-06-30,2015-11-30,153
07001,D2,6,2010-01-31,2010-06-30,150
07001,Sin sequia,56,2010-08-31,2014-08-31,1461
07002,D0,12,2021-10-15,2022-03-31,167
