nombre_estado,cve_ent,nombre_municipio,cve_geo,normal_pr_mm
Guerrero,12,Cuetzala del Progreso,12026,1027.4121957863965
Guerrero,12,Cutzamala de Pinzón,12027,992.1051965639106
Guerrero,12,Chilapa de Álvarez,12028,1206.7335630623513
Guerrero,12,Chilpancingo de los Bravo,12029,1333.777684672139
Guerrero,12,Florencio Villarreal,12030,1259.855104117413
Guerrero,12,General Canuto A. Neri,12031,1212.4396662821048
Guerrero,12,General Heliodoro Castillo,12032,1252.2450240235753
Guerrero,12,Huamuxtitlán,12033,868.2080877274029
Guerrero,12,Huitzuco de los Figueroa,12034,978.7667067930374
Guerrero,12,Iguala de la Independencia,12035,944.874369550521
Guerrero,12,Igualapa,12036,1771.8143168414415
Guerrero,12,Ixcateopan de Cuauhtémoc,12037,1110.0276881278553
Guerrero,12,Zihuatanejo de Azueta,12038,1115.174752878227
Guerrero,12,Juan R. Escudero,12039,1350.7881332271427
Guerrero,12,Leonardo Bravo,12040,1285.2358528029945
Guerrero,12,Malinaltepec,12041,2021.1740428467365
Guerrero,12,Mártir de Cuilapan,12042,978.3813399602084
Guerrero,12,Metlatónoc,12043,1835.5918500468194
Guerrero,12,Mochitlán,12044,1412.8147717823388
Guerrero,12,Olinalá,12045,866.658219129538
Guerrero,12,Ometepec,12046,1493.8734470657191
Guerrero,12,Pedro Ascencio Alquisiras,12047,1067.289558587227
Guerrero,12,Petatlán,12048,1191.1129691044675
Guerrero,12,Pilcaya,12049,1156.642198605462
Guerrero,12,Pungarabato,12050,1066.0874257205926
Guerrero,12,Quechultenango,12051,1470.5478600863396
Guerrero,12,San Luis Acatlán,12052,1940.7374835897303
Guerrero,12,San Marcos,12053,1207.551656542583
Guerrero,12,San Miguel Totolapan,12054,1325.1625723000923
Guerrero,12,Taxco de Alarcón,12055,1158.651773151973
Guerrero,12,Tecoanapa,12056,1357.884964161441
Guerrero,12,Técpan de Galeana,12057,1236.6151997294196
Guerrero,12,Teloloapan,12058,1149.735902255667
Guerrero,12,Tepecoacuilco de Trujano,12059,897.260712217736
Guerrero,12,Tetipac,12060,1240.7143895631332
Guerrero,12,Tixtla de Guerrero,12061,963.6373838374824
Guerrero,12,Tlacoachistlahuaca,12062,1935.0926903424388
Guerrero,12,Tlacoapa,12063,1811.3136697595685
Guerrero,12,Tlalchapa,12064,1118.6341880062298
Guerrero,12,Tlalixtaquilla de Maldonado,12065,908.3913308116173
Guerrero,12,Tlapa de Comonfort,12066,958.523537256863
Guerrero,12,Tlapehuala,12067,1103.9486101680961
Guerrero,12,La Unión de Isidoro Montes de Oca,12068,944.5306049304475
Guerrero,12,Xalpatláhuac,12069,1076.1387703224332
Guerrero,12,Xochihuehuetlán,12070,849.9271378064665
Guerrero,12,Xochistlahuaca,12071,1841.5665003517015
Guerrero,12,Zapotitlán Tablas,12072,1615.7669445804252
Guerrero,12,Zirándaro,12073,1035.781464074945
Guerrero,12,Zitlala,12074,1011.0307147605047
Guerrero,12,Eduardo Neri,12075,957.0836397691886
Guerrero,12,Acatepec,12076,1776.6270421774918
Guerrero,12,Marquelia,12077,1381.7286210991056
Guerrero,12,Cochoapa el Grande,12078,1984.370509202396
Guerrero,12,José Joaquín de Herrera,12079,1265.8903074401585
Guerrero,12,Juchitán,12080,1388.2641326998955
Guerrero,12,Iliatenco,12081,2247.114610042809
Guerrero,12,Las Vigas,12082,1321.1682571912825
Guerrero,12,Ñuu Savi,12083,1799.933057589508
Guerrero,12,Santa Cruz del Rincón,12084,2132.1587066725515
