nombre_estado,cve_ent,n_month,normal_pr_mm,normal_cumsum_pr_mm
Hidalgo,13,09,166.44813768595665,686.4140811608577
Hidalgo,13,10,86.67200040098102,773.0860815618387
Hidalgo,13,11,30.51419446901986,803.6002760308586
Hidalgo,13,12,15.978302308524777,819.5785783393834
Jalisco,14,01,16.034891243953794,16.034891243953794
Jalisco,14,02,5.530015123080817,21.56490636703461
Jalisco,14,03,4.17680106917942,25.74170743621403
Jalisco,14,04,4.3671123831451295,30.10881981935916
Jalisco,14,05,18.342091512243854,48.45091133160301
Jalisco,14,06,153.7739276560799,202.22483898768292
Jalisco,14,07,217.02757967182066,419.2524186595036
Jalisco,14,08,194.36057297772172,613.6129916372253
Jalisco,14,09,175.50539929128556,789.1183909285108
Jalisco,14,10,66.17655696800911,855.29494789651994
Jalisco,14,11,12.970133406107381,868.2650813026273
Jalisco,14,12,12.100446123695406,880.3655274263227
Estado de México,15,01,12.709711714944282,12.709711714944282
Estado de México,15,02,5.944755370093783,18.654467085038064
Estado de México,15,03,7.59908039611491,26.253547481152975
Estado de México,15,04,20.593874178243528,46.8474216593965
Estado de México,15,05,61.82333519809469,108.6707568574912
Estado de México,15,06,172.8665337819321,281.5372906394233
Estado de México,15,07,192.29517789903957,473.8324685384629
Estado de México,15,08,179.91682714714636,653.7492956856092
Estado de México,15,09,165.7504148904307,819.4997105760399
Estado de México,15,10,74.5704069727633,894.0701175488032
Estado de México,15,11,18.28161270745587,912.3517302562591
Estado de México,15,12,6.3477168347020765,918.6994470909611
Michoacán,16,01,13.89925633245244,13.89925633245244
Michoacán,16,02,3.4050055345183603,17.3042618669708
Michoacán,16,03,3.098041879196844,20.402303746167647
Michoacán,16,04,5.154932428359588,25.557236174527233
Michoacán,16,05,28.44913823603132,54.00637441055855
Michoacán,16,06,157.66146889334055,211.6678433038991
Michoacán,16,07,206.8497476169307,418.5175909208298
Michoacán,16,08,190.4785200871862,608.996111008016
Michoacán,16,09,177.75509379980016,786.7512048078162
Michoacán,16,10,80.71675086654231,867.4679556743584
Michoacán,16,11,14.683495466196787,882.1514511405552
Michoacán,16,12,7.681143028491434,889.8325941690466
Morelos,17,01,9.0064759262809,9.0064759262809
Morelos,17,02,2.542088131425021,11.548564057705923
Morelos,17,03,4.224979522712966,15.773543580418888
Morelos,17,04,13.630010931441237,29.403554511860126
Morelos,17,05,62.36090332852056,91.76445784038069
Morelos,17,06,209.65141331197285,301.41587115235353
Morelos,17,07,197.47302760635029,498.8888987587038
