nombre_estado,cve_ent,n_month,n_day,normal_pr_mm
Morelos,17,7,4,9.22350378573764
Morelos,17,7,5,6.833057842023727
Morelos,17,7,6,6.64829128916886
Morelos,17,7,7,8.798877613483825
Morelos,17,7,8,7.023819893695701
Morelos,17,7,9,6.101535812183454
Morelos,17,7,10,5.094009287944716
Morelos,17,7,11,4.44583697301084
Morelos,17,7,12,7.685907871845344
Morelos,17,7,13,4.467756922756801
Morelos,17,7,14,9.840364713358031
Morelos,17,7,15,4.441088443730774
Morelos,17,7,16,4.445545501823787
Morelos,17,7,17,6.225411481928472
Morelos,17,7,18,6.0314474353076815
Morelos,17,7,19,6.491848818156891
Morelos,17,7,20,5.473221727112515
Morelos,17,7,21,4.789584233238821
Morelos,17,7,22,5.523317410232105
Morelos,17,7,23,6.348604495954161
Morelos,17,7,24,6.2001297428738535
Morelos,17,7,25,6.152003502301301
Morelos,17,7,26,4.9889190445489096
Morelos,17,7,27,6.53494867961191
Morelos,17,7,28,6.837592965209741
Morelos,17,7,29,5.304290609669087
Morelos,17,7,30,5.10202815251489
Morelos,17,7,31,4.519516615799473
Morelos,17,8,1,5.371332808179928
Morelos,17,8,2,5.5302992837082
Morelos,17,8,3,6.293326285308837
Morelos,17,8,4,5.197772375081687
Morelos,17,8,5,6.370632675544485
Morelos,17,8,6,4.785608011216669
Morelos,17,8,7,5.159966228294412
Morelos,17,8,8,6.264428163072242
Morelos,17,8,9,7.540197338166439
Morelos,17,8,10,5.774809510188042
Morelos,17,8,11,6.715169085983883
Morelos,17,8,12,7.199245552292789
Morelos,17,8,13,5.925751755397114
Morelos,17,8,14,6.384118680417124
Morelos,17,8,15,6.121653872447073
Morelos,17,8,16,5.694971313939617
Morelos,17,8,17,6.280539676752948
Morelos,17,8,18,6.1364099719065575
Morelos,17,8,19,6.489904973418377
Morelos,17,8,20,7.935611497054562
Morelos,17,8,21,5.267559520950989
Morelos,17,8,22,6.270603046411661
Morelos,17,8,23,8.042156171268415
Morelos,17,8,24,6.647547570647133
Morelos,17,8,25,6.336225626574305
Morelos,17,8,26,6.518775519033119
Morelos,17,8,27,8.089597659930476
Morelos,17,8,28,7.411193087724299
Morelos,17,8,29,8.502421065712946
Morelos,17,8,30,7.9197607401395
Morelos,17,8,31,5.827177354900616
Morelos,17,9,1,6.552811194361752
Morelos,17,9,2,7.363329563125878
Morelos,17,9,3,7.636795290636362
Morelos,17,9,4,11.497595192672105
Morelos,17,9,5,8.255168742924095
Morelos,17,9,6,7.830935601227945
Morelos,17,9,7,11.208012315250862
Morelos,17,9,8,8.305488147758883
Morelos,17,9,9,7.077843481865929
Morelos,17,9,10,6.471697021642116
Morelos,17,9,11,6.110030317772295
Morelos,17,9,12,7.593492264794458
Morelos,17,9,13,7.23424618578512
Morelos,17,9,14,7.578887686451718
Morelos,17,9,15,7.774491234227727
Morelos,17,9,16,5.280104343817827
Morelos,17,9,17,7.579513130383975
Morelos,17,9,18,6.751749708519252
Morelos,17,9,19,7.5264324891946295
Morelos,17,9,20,4.741099184336731
Morelos,17,9,21,4.412637759485335
Morelos,17,9,22,6.335271418076944
Morelos,17,9,23,6.465985291228082
Morelos,17,9,24,6.418117729874047
Morelos,17,9,25,5.317607520351731
Morelos,17,9,26,5.189507401171237
Morelos,17,9,27,4.152648726553426
Morelos,17,9,28,6.9689819089863825
Morelos,17,9,29,4.473561071289152
Morelos,17,9,30,4.615621048483024
Morelos,17,10,1,2.4538638359296776
Morelos,17,10,2,1.3611283870208415
Morelos,17,10,3,2.1460351297262172
Morelos,17,10,4,4.461809415449691
Morelos,17,10,5,5.326723713027348
Morelos,17,10,6,3.6033955313336983
Morelos,17,10,7,3.251926373675508
Morelos,17,10,8,3.736503560093543
Morelos,17,10,9,4.916273865574764
Morelos,17,10,10,1.5702863660729913
Morelos,17,10,11,1.6529620095972084
Morelos,17,10,12,2.2630368770631635
Morelos,17,10,13,3.803512229141038
Morelos,17,10,14,1.7768463894456576
Morelos,17,10,15,2.3933412791915063
Morelos,17,10,16,0.95077814885423
Morelos,17,10,17,0.55976595941438
Morelos,17,10,18,2.438910501855582
Morelos,17,10,19,1.5453219545158283
Morelos,17,10,20,1.0653869728589478
Morelos,17,10,21,2.032849100863337
Morelos,17,10,22,0.8628325010049708
Morelos,17,10,23,3.169588127298525
Morelos,17,10,24,1.5851161404397407
Morelos,17,10,25,1.6333570090808098
Morelos,17,10,26,1.0975509804439585
Morelos,17,10,27,1.6989643324061596
Morelos,17,10,28,1.2633132218134282
Morelos,17,10,29,0.6395213977594838
Morelos,17,10,30,0.6161359355618348
Morelos,17,10,31,1.7433664245135811
Morelos,17,11,1,0.8673033641984891
Morelos,17,11,2,0.7881179807644649
Morelos,17,11,3,1.0766639932815498
Morelos,17,11,4,1.1875339421707614
Morelos,17,11,5,0.12932720726108177
Morelos,17,11,6,0.20416286152117288
Morelos,17,11,7,0.7805347605942123
Morelos,17,11,8,0.5390960404330969
Morelos,17,11,9,0.11650376479499432
Morelos,17,11,10,0.6084965761051538
Morelos,17,11,11,0.4218097310459708
Morelos,17,11,12,0.4332467979514562
Morelos,17,11,13,0.44787307730980863
Morelos,17,11,14,0.18233762849223384
Morelos,17,11,15,0.18864497273030906
Morelos,17,11,16,0.6083110595633083
Morelos,17,11,17,0.2820260753798501
Morelos,17,11,18,0.07585449776910164
Morelos,17,11,19,0.46086574731919905
Morelos,17,11,20,0.2260919909574249
Morelos,17,11,21,0.3612141941519743
Morelos,17,11,22,0.2768373839210356
Morelos,17,11,23,0.281613572953583
Morelos,17,11,24,0.3577842220806781
Morelos,17,11,25,0.1057959722559735
Morelos,17,11,26,0.4423711332220487
Morelos,17,11,27,0.4923437490031932
Morelos,17,11,28,0.3791397356830347
Morelos,17,11,29,0.059129534248831536
Morelos,17,11,30,0.20765602469378275
Morelos,17,12,1,0.03179021480263101
Morelos,17,12,2,0.021300884351557796
Morelos,17,12,3,0.1866921391764695
Morelos,17,12,4,0.053007730912934176
Morelos,17,12,5,0.10228879334146904
Morelos,17,12,6,0.04232713371132331
Morelos,17,12,7,0.008966284755989077
Morelos,17,12,8,0.0905674974182838
Morelos,17,12,9,0.13925014872058422
Morelos,17,12,10,0.06251921853717445
Morelos,17,12,11,0.0026945875981702313
Morelos,17,12,12,0.013598838259646613
Morelos,17,12,13,0.04075499936533785
Morelos,17,12,14,0.026591439380551425
Morelos,17,12,15,0.05636710228582194
Morelos,17,12,16,0.07810162353908798
Morelos,17,12,17,0.010662550258982217
Morelos,17,12,18,0.038933573182110374
Morelos,17,12,19,0.09012969689284607
Morelos,17,12,20,0.06636089256959685
Morelos,17,12,21,0.031316670955976435
Morelos,17,12,22,0.026444503706131377
Morelos,17,12,23,0.03550674224559721
Morelos,17,12,24,0.012293440404045675
Morelos,17,12,25,0.07102920988208201
Morelos,17,12,26,0.49104386049140414
Morelos,17,12,27,0.17053406032762652
Morelos,17,12,28,0.035089815724331966
Morelos,17,12,29,0.09234295630772746
Morelos,17,12,30,0.14971107131065797
Morelos,17,12,31,0.10292009605156002
Nayarit,18,1,1,0.4636589512197875
Nayarit,18,1,2,0.6333384439607339
Nayarit,18,1,3,0.6091315493747791
Nayarit,18,1,4,0.23266347486973674
Nayarit,18,1,5,0.1595152214041534
Nayarit,18,1,6,0.145729613268999
Nayarit,18,1,7,0.14563547515308017
Nayarit,18,1,8,0.3949886971785155
Nayarit,18,1,9,0.8907943511821649
Nayarit,18,1,10,0.704656871678683
Nayarit,18,1,11,1.1545600111247654
Nayarit,18,1,12,0.5663138995647707
Nayarit,18,1,13,1.1812179844732298
Nayarit,18,1,14,1.5088216638663463
Nayarit,18,1,15,0.3829677483639824
Nayarit,18,1,16,1.3099180791845648
Nayarit,18,1,17,1.0483432217364628
Nayarit,18,1,18,1.495107996566238
Nayarit,18,1,19,0.4946537717579653
Nayarit,18,1,20,0.5765876549145631
Nayarit,18,1,21,0.14989965015468198
Nayarit,18,1,22,0.22447217868824024
Nayarit,18,1,23,0.49228769544986756
Nayarit,18,1,24,0.42154015893032426
Nayarit,18,1,25,0.5340650145581457
Nayarit,18,1,26,0.39875103557164615
Nayarit,18,1,27,0.24839566198490826
Nayarit,18,1,28,0.033568440824909083
Nayarit,18,1,29,0.43125293510715634
Nayarit,18,1,30,0.9008075250923625
Nayarit,18,1,31,1.161792851888253
Nayarit,18,2,1,1.4191012003857126
Nayarit,18,2,2,0.4671410584670632
Nayarit,18,2,3,0.699968096904741
Nayarit,18,2,4,0.5857178773519623
Nayarit,18,2,5,0.6284940313852089
Nayarit,18,2,6,0.33001279887282775
Nayarit,18,2,7,0.14037096206237226
Nayarit,18,2,8,0.08703691946113574
Nayarit,18,2,9,0.1212359524837867
Nayarit,18,2,10,0.13373814298871015
Nayarit,18,2,11,0.15844257865223488
Nayarit,18,2,12,0.2960472406131677
Nayarit,18,2,13,0.1531604744240601
Nayarit,18,2,14,0.28538544112222114
Nayarit,18,2,15,0.10135988861378709
Nayarit,18,2,16,0.23442002258728264
Nayarit,18,2,17,0.5051174064263054
Nayarit,18,2,18,0.4678110179665355
Nayarit,18,2,19,0.043376345661765
Nayarit,18,2,20,0.12925238799844213
Nayarit,18,2,21,0.1914868961125042
Nayarit,18,2,22,0.12605654063166907
Nayarit,18,2,23,0.1814945659464262
Nayarit,18,2,24,0.32026175228039666
Nayarit,18,2,25,0.5415841883679737
Nayarit,18,2,26,0.3959517001834803
Nayarit,18,2,27,0.08949143626346752
Nayarit,18,2,28,0.11030207261706541
Nayarit,18,2,29,0.07626912367321563
Nayarit,18,3,1,0.25152846113207705
Nayarit,18,3,2,0.3453212799862879
Nayarit,18,3,3,0.08462806338461933
Nayarit,18,3,4,0.11909934259216708
Nayarit,18,3,5,0.04644754852025079
Nayarit,18,3,6,0.1364239323960463
Nayarit,18,3,7,0.12243490706121776
Nayarit,18,3,8,0.16471065004108107
Nayarit,18,3,9,0.07589447390490271
Nayarit,18,3,10,0.09991864498940103
Nayarit,18,3,11,0.1277286271623163
Nayarit,18,3,12,0.14281884798169028
Nayarit,18,3,13,0.08506233101150222
Nayarit,18,3,14,0.051916822818899214
Nayarit,18,3,15,0.122456558098053
Nayarit,18,3,16,0.09883971844372047
Nayarit,18,3,17,0.16036995775781782
Nayarit,18,3,18,0.06987893990388927
Nayarit,18,3,19,0.13135354889433748
Nayarit,18,3,20,0.08673334756939086
Nayarit,18,3,21,0.04729558698912757
Nayarit,18,3,22,0.029717110722147375
Nayarit,18,3,23,0.06016477428902095
Nayarit,18,3,24,0.045927988167685216
Nayarit,18,3,25,0.2521396954098162
Nayarit,18,3,26,0.11156124453643727
Nayarit,18,3,27,0.08159861062981194
Nayarit,18,3,28,0.13430955171078499
Nayarit,18,3,29,0.15015571099506342
Nayarit,18,3,30,0.12133162028351029
Nayarit,18,3,31,0.1919223743199184
Nayarit,18,4,1,0.04031831195597662
Nayarit,18,4,2,0.16853909528930328
Nayarit,18,4,3,0.05237024884339809
Nayarit,18,4,4,0.15629116525887235
Nayarit,18,4,5,0.05169685836015823
Nayarit,18,4,6,0.06900323954781037
Nayarit,18,4,7,0.09602086517673931
Nayarit,18,4,8,0.18297419562674602
Nayarit,18,4,9,0.020765615707693946
Nayarit,18,4,10,0.0491737968867945
Nayarit,18,4,11,0.04483595773383988
Nayarit,18,4,12,0.0899750421638476
Nayarit,18,4,13,0.08415214532973309
Nayarit,18,4,14,0.063997640343628
Nayarit,18,4,15,0.07393187784273107
Nayarit,18,4,16,0.06376737210129417
Nayarit,18,4,17,0.06837682367307692
Nayarit,18,4,18,0.07799693910133494
Nayarit,18,4,19,0.05840845803165362
Nayarit,18,4,20,0.09952525726978821
Nayarit,18,4,21,0.09204551001198315
Nayarit,18,4,22,0.0494333696336592
Nayarit,18,4,23,0.07756733830738365
Nayarit,18,4,24,0.15469563417122972
Nayarit,18,4,25,0.0866358992581054
Nayarit,18,4,26,0.06854198364320134
Nayarit,18,4,27,0.03886878166672165
Nayarit,18,4,28,0.06386200897625802
Nayarit,18,4,29,0.04814291017957892
Nayarit,18,4,30,0.052076726926257755
Nayarit,18,5,1,0.004161826710411332
Nayarit,18,5,2,0.005513921898939238
Nayarit,18,5,3,0.015674015670645976
Nayarit,18,5,4,0.004001123130070143
Nayarit,18,5,5,0.016551116380343796
Nayarit,18,5,6,0.027262763316922622
Nayarit,18,5,7,0.0308610760491446
Nayarit,18,5,8,0.025202303149014234
Nayarit,18,5,9,0.01668325974382514
Nayarit,18,5,10,0.022504501698640062
Nayarit,18,5,11,0.027391008899245804
Nayarit,18,5,12,0.031747989335754984
Nayarit,18,5,13,0.032852009652178375
Nayarit,18,5,14,0.0238756763094296
Nayarit,18,5,15,0.04196616697894641
Nayarit,18,5,16,0.03383634802065185
Nayarit,18,5,17,0.048478867858784316
Nayarit,18,5,18,0.15195950963723248
Nayarit,18,5,19,0.08816864653518375
Nayarit,18,5,20,0.035342671145145596
Nayarit,18,5,21,0.07586233882791546
Nayarit,18,5,22,0.12970063508974305
Nayarit,18,5,23,0.10049622217574068
Nayarit,18,5,24,0.056547605659379545
Nayarit,18,5,25,0.06577182555674206
Nayarit,18,5,26,0.1769037354015975
Nayarit,18,5,27,1.184843156589233
Nayarit,18,5,28,0.8672366716492755
Nayarit,18,5,29,0.46357865385031866
Nayarit,18,5,30,0.35813822664466466
Nayarit,18,5,31,0.5535958244465544
Nayarit,18,6,1,0.9275416769043681
Nayarit,18,6,2,0.9937389862399161
Nayarit,18,6,3,1.5162375072377965
Nayarit,18,6,4,1.7057673147299879
Nayarit,18,6,5,1.7700375521933107
Nayarit,18,6,6,1.494100247836395
Nayarit,18,6,7,2.4137717241842505
Nayarit,18,6,8,2.012512207404742
Nayarit,18,6,9,0.9935091539663512
Nayarit,18,6,10,2.5187817973475672
Nayarit,18,6,11,1.9681047835932721
Nayarit,18,6,12,2.77968713953514
Nayarit,18,6,13,2.7479707923235046
Nayarit,18,6,14,3.472367979874357
Nayarit,18,6,15,3.540323777486872
Nayarit,18,6,16,3.161840229610814
Nayarit,18,6,17,4.495968309503323
Nayarit,18,6,18,4.503668324088368
Nayarit,18,6,19,5.783453763822687
Nayarit,18,6,20,7.609885522569038
Nayarit,18,6,21,5.202909559324706
Nayarit,18,6,22,6.581450650750751
Nayarit,18,6,23,5.894744167753689
Nayarit,18,6,24,5.41021325916532
Nayarit,18,6,25,7.025277572898866
Nayarit,18,6,26,6.702363262667771
Nayarit,18,6,27,8.188477949556802
Nayarit,18,6,28,9.73927796394446
Nayarit,18,6,29,10.163234999974236
Nayarit,18,6,30,10.5164555902096
Nayarit,18,7,1,8.336864404284608
Nayarit,18,7,2,11.59900548658934
Nayarit,18,7,3,9.452221399786085
Nayarit,18,7,4,10.727205527968849
Nayarit,18,7,5,9.62818569568525
Nayarit,18,7,6,6.799999175864786
Nayarit,18,7,7,10.243608903628221
Nayarit,18,7,8,11.240551581073168
Nayarit,18,7,9,10.064594098192885
Nayarit,18,7,10,9.283197946112553
Nayarit,18,7,11,9.129144860294248
Nayarit,18,7,12,9.052191007546167
Nayarit,18,7,13,8.150868044040514
Nayarit,18,7,14,11.048727863729004
Nayarit,18,7,15,10.703658764523755
Nayarit,18,7,16,7.2510367090770975
Nayarit,18,7,17,8.60226342985185
Nayarit,18,7,18,10.997840300428436
Nayarit,18,7,19,10.884209471178945
Nayarit,18,7,20,8.753030624143507
Nayarit,18,7,21,9.23794881916462
Nayarit,18,7,22,9.49737704623365
Nayarit,18,7,23,10.479264002658583
Nayarit,18,7,24,8.640575809141536
Nayarit,18,7,25,8.895511827640203
Nayarit,18,7,26,9.840638640457488
Nayarit,18,7,27,7.9984739405068535
Nayarit,18,7,28,10.581958420658426
Nayarit,18,7,29,7.735576757660933
Nayarit,18,7,30,9.901668399861093
Nayarit,18,7,31,7.146199112459778
Nayarit,18,8,1,7.005413276006424
Nayarit,18,8,2,7.74852294659576
Nayarit,18,8,3,10.971494620254559
Nayarit,18,8,4,8.748947358831336
Nayarit,18,8,5,8.910040597354284
Nayarit,18,8,6,8.31219720557264
Nayarit,18,8,7,10.978913174193494
Nayarit,18,8,8,8.244333402830222
Nayarit,18,8,9,9.915806666319291
Nayarit,18,8,10,7.996039433320042
Nayarit,18,8,11,9.614914931993715
Nayarit,18,8,12,9.577107653528833
Nayarit,18,8,13,11.790030733035792
Nayarit,18,8,14,9.126164721421238
Nayarit,18,8,15,9.108355155841748
Nayarit,18,8,16,9.563714793657375
Nayarit,18,8,17,11.064019571191318
Nayarit,18,8,18,10.235747987919348
Nayarit,18,8,19,9.589280215541825
Nayarit,18,8,20,9.918899931500475
Nayarit,18,8,21,8.619390925795125
Nayarit,18,8,22,9.100661599949369
Nayarit,18,8,23,11.188925214831073
Nayarit,18,8,24,8.98566549088898
Nayarit,18,8,25,8.93685446459199
Nayarit,18,8,26,10.45390885396374
Nayarit,18,8,27,8.679249014922657
Nayarit,18,8,28,10.402653014787361
Nayarit,18,8,29,7.991026638416504
Nayarit,18,8,30,8.706605047977076
Nayarit,18,8,31,10.414632340019176
Nayarit,18,9,1,10.976395440732874
Nayarit,18,9,2,10.569144080725357
Nayarit,18,9,3,9.269343108872219
Nayarit,18,9,4,8.791717369763814
Nayarit,18,9,5,11.053332708862389
Nayarit,18,9,6,7.41127170440774
Nayarit,18,9,7,10.709447216218868
Nayarit,18,9,8,11.051012796799794
Nayarit,18,9,9,10.020266680057095
Nayarit,18,9,10,8.000570590079136
Nayarit,18,9,11,9.169323478028648
Nayarit,18,9,12,9.413252782406932
Nayarit,18,9,13,10.63275133127296
Nayarit,18,9,14,5.864540644240334
Nayarit,18,9,15,8.066379330017917
Nayarit,18,9,16,6.066748527093302
Nayarit,18,9,17,8.416092855989882
Nayarit,18,9,18,9.14191757214757
Nayarit,18,9,19,8.906222696800164
Nayarit,18,9,20,7.608236064868418
Nayarit,18,9,21,9.374450391939565
Nayarit,18,9,22,6.975805402128733
Nayarit,18,9,23,6.111305840752484
Nayarit,18,9,24,6.72145768382516
Nayarit,18,9,25,6.457334133770297
Nayarit,18,9,26,7.1703134452798825
Nayarit,18,9,27,5.826091692464495
Nayarit,18,9,28,5.4237435439929795
Nayarit,18,9,29,5.532558699647649
Nayarit,18,9,30,4.083918772638624
Nayarit,18,10,1,4.179238545686012
Nayarit,18,10,2,3.464818347259089
Nayarit,18,10,3,2.556573006707284
Nayarit,18,10,4,3.720276793670683
