cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,anomaly_pr_mm,anomaly_pr_prop
25,Sinaloa,1991-03-15,1991,3,4.203584439177289,-1.199713601319207,-0.22203357881198205
25,Sinaloa,1991-04-15,1991,4,0.8262509590880934,-1.0323681227040797,-0.555449006640252
25,Sinaloa,1991-05-15,1991,5,0.45440739923992196,-1.261311804637968,-0.7351504848737108
25,Sinaloa,1991-06-15,1991,6,14.813114832398973,-23.814169397134997,-0.6165116153552147
25,Sinaloa,1991-07-15,1991,7,152.04874548336554,-26.282728452451238,-0.14738132239018362
25,Sinaloa,1991-08-15,1991,8,168.15737768351107,-19.418046423639197,-0.10352127159550957
25,Sinaloa,1991-09-15,1991,9,170.93770652628524,26.05380893848175,0.17982542830677545
25,Sinaloa,1991-10-15,1991,10,36.16874468279052,-15.770435828347864,-0.3036327426260776
25,Sinaloa,1991-11-15,1991,11,35.96003669014309,17.830798809895242,0.9835382451085954
25,Sinaloa,1991-12-15,1991,12,65.10716503310535,37.33055206951053,1.3439562310364304
26,Sonora,1991-01-15,1991,1,19.19176926797049,-5.606338484399604,-0.22607928558031912
26,Sonora,1991-02-15,1991,2,30.549943000575542,11.814769597958325,0.6306197089324967
26,Sonora,1991-03-15,1991,3,17.485155629733956,5.446379072241264,0.4524030366567064
26,Sonora,1991-04-15,1991,4,0.619076907289804,-3.1507680884397145,-0.835781866896094
26,Sonora,1991-05-15,1991,5,0.9338312514698831,-1.1294892712006304,-0.5474133847797702
26,Sonora,1991-06-15,1991,6,7.388093948173813,-5.049806381405361,-0.40600151533584583
26,Sonora,1991-07-15,1991,7,59.41105480967361,-35.536455609816635,-0.3742747487829015
26,Sonora,1991-08-15,1991,8,101.62991092769916,10.387555598996244,0.1138457634239582
26,Sonora,1991-09-15,1991,9,67.78913786954413,17.314122259159923,0.3430236137578904
26,Sonora,1991-10-15,1991,10,12.810265071603814,-7.640484628719095,-0.3736041338669582
26,Sonora,1991-11-15,1991,11,14.359606955655439,0.7464002635640874,0.05482912883396619
26,Sonora,1991-12-15,1991,12,58.07605401918443,27.15584288483817,0.8782554157488717
27,Tabasco,1991-01-15,1991,1,158.219138327831,39.420316164530945,0.3318241329896693
27,Tabasco,1991-02-15,1991,2,109.15467487360425,21.26419758275196,0.2419397213236565
27,Tabasco,1991-03-15,1991,3,28.520242288538796,-22.92800628240662,-0.44565183304130684
27,Tabasco,1991-04-15,1991,4,15.951758390335602,-27.711889161042638,-0.6346672968270585
27,Tabasco,1991-05-15,1991,5,80.84675273613738,-31.345564610303754,-0.2793913643258753
27,Tabasco,1991-06-15,1991,6,180.42102665702527,-45.975527472624265,-0.20307520867254747
27,Tabasco,1991-07-15,1991,7,121.1011172578483,-57.129001774175606,-0.32053505930673154
27,Tabasco,1991-08-15,1991,8,120.84942894409298,-110.7651038508786,-0.47823037058270185
27,Tabasco,1991-09-15,1991,9,260.3186712113009,-68.57042370205784,-0.20849102254400306
27,Tabasco,1991-10-15,1991,10,320.9484631186585,19.463011792340694,0.06455705144880965
27,Tabasco,1991-11-15,1991,11,210.15561792356445,39.75680834094612,0.23331623289111023
27,Tabasco,1991-12-15,1991,12,195.00081060000434,54.628172903068105,0.3891653943342579
28,Tamaulipas,1991-01-15,1991,1,11.893677946620105,-11.285881886107475,-0.48688939598295405
28,Tamaulipas,1991-02-15,1991,2,17.365066283806122,-0.9167897485131036,-0.050147520409983236
28,Tamaulipas,1991-03-15,1991,3,7.170588499858493,-10.307421054144594,-0.5897365499370509
28,Tamaulipas,1991-04-15,1991,4,43.521585984806315,8.02024991766428,0.2259140304605988
28,Tamaulipas,1991-05-15,1991,5,67.29951294082663,-3.0017921827532916,-0.04269895384554466
28,Tamaulipas,1991-06-15,1991,6,191.78040964562035,92.1818713599297,0.925534379786912
28,Tamaulipas,1991-07-15,1991,7,134.30118656748104,38.119527606764294,0.3963284478419463
28,Tamaulipas,1991-08-15,1991,8,39.891981354107926,-45.73016495383254,-0.534092719299091
28,Tamaulipas,1991-09-15,1991,9,188.29689011068174,48.32107215659204,0.34521014317230664
28,Tamaulipas,1991-10-15,1991,10,55.976845686578336,-14.159889662978053,-0.20188977420186713
28,Tamaulipas,1991-11-15,1991,11,20.53141355302136,-4.425093590163165,-0.17731221619975904
28,Tamaulipas,1991-12-15,1991,12,35.26562292882558,14.3806025320239,0.688560617073955
29,Tlaxcala,1991-01-15,1991,1,6.1061391715466815,-3.4694224031312473,-0.3623205152067481
29,Tlaxcala,1991-02-15,1991,2,3.960435449954598,-4.53642334037664,-0.5338941663404758
29,Tlaxcala,1991-03-15,1991,3,2.589930274996527,-9.721965659043672,-0.7896400124829003
29,Tlaxcala,1991-04-15,1991,4,33.235795331159814,-2.2023683543986294,-0.062146796711595016
29,Tlaxcala,1991-05-15,1991,5,84.63783895824139,8.760036756272584,0.11544926845608196
29,Tlaxcala,1991-06-15,1991,6,168.9701351085363,40.81525056458423,0.31848376837003206
29,Tlaxcala,1991-07-15,1991,7,143.8645983610051,16.54165245712609,0.12991886371851638
29,Tlaxcala,1991-08-15,1991,8,84.32825918346157,-40.4821982052045,-0.32434940991475486
29,Tlaxcala,1991-09-15,1991,9,138.41077545028062,12.60466787769046,0.10019122378790364
29,Tlaxcala,1991-10-15,1991,10,75.84398890728822,14.207329671564501,0.23050129334930175
29,Tlaxcala,1991-11-15,1991,11,19.691450851929144,1.7545523599661585,0.09781804589864428
29,Tlaxcala,1991-12-15,1991,12,8.384754622769902,0.4042805480049285,0.05065871328162101
30,Veracruz,1991-01-15,1991,1,60.998020474513446,14.467704232988616,0.3109307093012463
30,Veracruz,1991-02-15,1991,2,29.590123428700366,-12.465342596025927,-0.2964024364561076
30,Veracruz,1991-03-15,1991,3,13.831653539764783,-15.467599388811863,-0.5279178764904869
30,Veracruz,1991-04-15,1991,4,30.440113171548226,-10.287988420425826,-0.2526017176909909
30,Veracruz,1991-05-15,1991,5,69.92356096590427,-16.374348816357397,-0.18974212536168641
30,Veracruz,1991-06-15,1991,6,244.18482692711942,16.691547002777128,0.07337160468356804
30,Veracruz,1991-07-15,1991,7,248.925913122399,-23.972809748522508,-0.08784507855634567
