cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,cumsum_pr_mm,anomaly_pr_mm,anomaly_pr_prop,cumulative_anomaly_pr_mm,cumulative_anomaly_pr_prop
28,Tamaulipas,1999-08-15,1999,8,40.45821958906279,339.66131421205773,-45.163926718877676,-0.5274794976108796,-106.48309595206194,-0.23867405603690256
28,Tamaulipas,1999-09-15,1999,9,116.27378262747884,455.9350968395366,-23.70203532661087,-0.1693295004311733,-130.18513127867283,-0.22211335666855186
28,Tamaulipas,1999-10-15,1999,10,30.101352009641342,486.03644884917793,-40.03538333991504,-0.5708190314302712,-170.22051461858786,-0.25938088903333795
28,Tamaulipas,1999-11-15,1999,11,10.653958983438724,496.69040783261664,-14.3025481597458,-0.5730989548211575,-184.5230627783336,-0.2708740662641962
28,Tamaulipas,1999-12-15,1999,12,14.394580607740252,511.0849884403569,-6.490439789061426,-0.3107700957790479,-191.01350256739505,-0.2720608362129154
28,Tamaulipas,2000-01-15,2000,1,15.75620512699257,15.75620512699257,-7.42335470573501,-0.3202543430205202,-7.42335470573501,-0.3202543430205202
28,Tamaulipas,2000-02-15,2000,2,7.456480869134093,23.212685996126663,-10.825375163185132,-0.5921376442330418,-18.24872986892014,-0.4401376433529941
28,Tamaulipas,2000-03-15,2000,3,18.5324712250726,41.745157221199264,1.0544616710695145,0.060330764084518144,-17.194268197850626,-0.2917277879043124
28,Tamaulipas,2000-04-15,2000,4,20.69157990005601,62.43673712125528,-14.809756167086025,-0.4171605299326487,-32.00402436493664,-0.338879355283639
28,Tamaulipas,2000-05-15,2000,5,50.68514508174711,113.12188220300239,-19.616160041832813,-0.2790298132780086,-51.62018440676944,-0.3133394248904459
28,Tamaulipas,2000-06-15,2000,6,128.7997885907874,241.92167079378976,29.201250305096735,0.29318954683185433,-22.418934101672733,-0.08481078459564939
28,Tamaulipas,2000-07-15,2000,7,13.550287391791686,255.47195818558146,-82.63137156892506,-0.859117761762396,-105.05030567059777,-0.2913836847327265
28,Tamaulipas,2000-08-15,2000,8,92.55026854096798,348.02222672654943,6.9281222330275085,0.0809150731647217,-98.12218343757024,-0.2199336833593293
28,Tamaulipas,2000-09-15,2000,9,54.048163070242566,402.07038979679203,-85.92765488384714,-0.6138749974086976,-184.04983832141738,-0.3140137969855188
28,Tamaulipas,2000-10-15,2000,10,102.57054525376236,504.6409350505544,32.43380990420597,0.4624368348848606,-151.6160284172114,-0.23103149658945832
28,Tamaulipas,2000-11-15,2000,11,27.43665237645185,532.0775874270063,2.4801452332673257,0.09937869987325686,-149.13588318394397,-0.2189267969850781
28,Tamaulipas,2000-12-15,2000,12,20.95733586800044,553.0349232950067,0.0723154711987597,0.003462552098337144,-149.06356771274523,-0.21231147712450987
28,Tamaulipas,2001-01-15,2001,1,17.17152875250151,17.17152875250151,-6.008031080226072,-0.25919521870053974,-6.008031080226072,-0.25919521870053974
28,Tamaulipas,2001-02-15,2001,2,17.36727726518573,34.538806017687236,-0.9145787671334951,-0.05002658184796307,-6.922609847359567,-0.16696510967913017
28,Tamaulipas,2001-03-15,2001,3,18.440213540782093,52.97901955846933,0.9622039867790058,0.0550522634631829,-5.960405860580558,-0.10112765467601736
28,Tamaulipas,2001-04-15,2001,4,31.646278409040615,84.62529796750995,-3.855057658101419,-0.10858908664199361,-9.815463518681966,-0.10393249021098877
28,Tamaulipas,2001-05-15,2001,5,52.58519732282873,137.21049529033868,-17.71610780075119,-0.25200254489740603,-27.53157131943314,-0.16711925427430616
28,Tamaulipas,2001-06-15,2001,6,80.62840079165166,217.83889608199036,-18.970137494038994,-0.1904660231019117,-46.501708813472135,-0.17591587501988937
28,Tamaulipas,2001-07-15,2001,7,51.86463253317204,269.7035286151624,-44.317026427544704,-0.4607637974475467,-90.81873524101684,-0.2519088121482743
28,Tamaulipas,2001-08-15,2001,8,111.95888387532185,381.66241249048426,26.336737567381377,0.3075925879346819,-64.48199767363542,-0.14453167226709157
28,Tamaulipas,2001-09-15,2001,9,169.57929332559138,551.2417058160756,29.603475371501673,0.2114899259328582,-34.878522302133774,-0.05950745363986897
28,Tamaulipas,2001-10-15,2001,10,34.59598907725475,585.8376948933304,-35.54074627230164,-0.5067351095708853,-70.41926857443536,-0.10730441350645453
28,Tamaulipas,2001-11-15,2001,11,42.397047255914195,628.2347421492447,17.44054011272967,0.6988373818766774,-52.9787284617056,-0.07777111103541644
28,Tamaulipas,2001-12-15,2001,12,15.339862962446215,643.5746051116909,-5.545157434355463,-0.26550883499278966,-58.523885896061074,-0.08335566397822511
28,Tamaulipas,2002-01-15,2002,1,10.532752420029372,10.532752420029372,-12.646807412698209,-0.5456017070195606,-12.646807412698209,-0.5456017070195606
28,Tamaulipas,2002-02-15,2002,2,11.115616189529236,21.64836860955861,-7.16623984278999,-0.3919864498506766,-19.813047255488193,-0.47786711674241633
28,Tamaulipas,2002-03-15,2002,3,8.920510699948313,30.568879309506922,-8.557498854054774,-0.48961518344603505,-28.370546109542968,-0.48135091083486004
28,Tamaulipas,2002-04-15,2002,4,17.51700676386775,48.085886073374674,-17.984329303274283,-0.506581759888173,-46.35487541281724,-0.4908354685343652
28,Tamaulipas,2002-05-15,2002,5,34.35758831545668,82.44347438883136,-35.94371680812324,-0.5112809320529567,-82.29859222094046,-0.4995602757362693
28,Tamaulipas,2002-06-15,2002,6,100.57464967131192,183.0181240601433,0.976111385621266,0.009800458946710307,-81.3224808353192,-0.3076427886191734
28,Tamaulipas,2002-07-15,2002,7,101.40387655704876,284.42200061719205,5.222217596332015,0.05429535789630031,-76.10026323898717,-0.21108339447614627
28,Tamaulipas,2002-08-15,2002,8,45.92718339089287,330.34918400808493,-39.6949629170476,-0.4636062587625924,-115.79522615603474,-0.25954651345612073
28,Tamaulipas,2002-09-15,2002,9,203.62526218378756,533.9744461918725,63.64944422969785,0.4547174301962219,-52.145781926336895,-0.08896772270384784
28,Tamaulipas,2002-10-15,2002,10,169.4234603011006,703.3979064929731,99.2867249515442,1.4156165732081254,47.14094302520732,0.07183305572272652
28,Tamaulipas,2002-11-15,2002,11,62.58238901016211,765.9802955031353,37.625881866977586,1.507658169114142,84.76682489218501,0.12443503916057531
28,Tamaulipas,2002-12-15,2002,12,13.953530249434523,779.9338257525698,-6.931490147367155,-0.33188811960311226,77.83533474481783,0.11086099135905769
28,Tamaulipas,2003-01-15,2003,1,17.325447672789508,17.325447672789508,-5.854112159938072,-0.25255493211189284,-5.854112159938072,-0.25255493211189284
28,Tamaulipas,2003-02-15,2003,2,12.600218934026683,29.925666606816193,-5.681637098292542,-0.3107801028652873,-11.53574925823061,-0.27822854134500474
28,Tamaulipas,2003-03-15,2003,3,19.57927214755333,49.50493875436952,2.101262593550242,0.12022322033054261,-9.434486664680371,-0.1600708964772337
28,Tamaulipas,2003-04-15,2003,4,29.385197479662654,78.89013623403217,-6.11613858747938,-0.1722791101696063,-15.550625252159747,-0.16466010023048563
28,Tamaulipas,2003-05-15,2003,5,56.39675903673341,135.28689527076557,-13.904546086846516,-0.19778503489237156,-29.455171339006256,-0.1787956891956283
28,Tamaulipas,2003-06-15,2003,6,108.49749197774484,243.78438724851043,8.898953692054192,0.08934823588001098,-20.556217646952064,-0.07776413182939236
28,Tamaulipas,2003-07-15,2003,7,122.66914476017006,366.4535320086805,26.48748579945331,0.2753901948215671,5.931268152501275,0.01645187758741967
28,Tamaulipas,2003-08-15,2003,8,119.08861560230596,485.5421476109865,33.466469294365496,0.39086230300748565,39.39773744686681,0.08830714125135822
28,Tamaulipas,2003-09-15,2003,9,225.2098862967775,710.752033907764,85.2340683426878,0.6089199519494396,124.63180578955462,0.2126386359155288
28,Tamaulipas,2003-10-15,2003,10,127.41978586680187,838.1718197745658,57.283050517245485,0.816733915996388,181.91485630680006,0.27720064918707016
28,Tamaulipas,2003-11-15,2003,11,19.621596850215106,857.793416624781,-5.334910292969418,-0.2137683074943583,176.57994601383075,0.2592138200899991
28,Tamaulipas,2003-12-15,2003,12,12.92780179901074,870.7212184237917,-7.957218597790938,-0.3810012366092543,168.62272741603977,0.24016961947035148
28,Tamaulipas,2004-01-15,2004,1,26.874424352594925,26.874424352594925,3.6948645198673447,0.159401841386587,3.6948645198673447,0.159401841386587
28,Tamaulipas,2004-02-15,2004,2,15.4403921494558,42.314816502050725,-2.841463882863426,-0.1554253505683558,0.8534006370039222,0.02058300757942432
28,Tamaulipas,2004-03-15,2004,3,40.99463271670278,83.30944921875351,23.516623162699695,1.3454977862346773,24.370023799703624,0.4134757613674828
28,Tamaulipas,2004-04-15,2004,4,52.65594998341128,135.9653992021648,17.15461391626925,0.4832103750637869,41.52463771597289,0.4396897807949606
28,Tamaulipas,2004-05-15,2004,5,68.49423775166284,204.45963695382764,-1.8070673719170856,-0.025704606319050725,39.717570344055815,0.24108942640701297
28,Tamaulipas,2004-06-15,2004,6,151.30571542239525,355.7653523762229,51.7071771367046,0.5191559838798697,91.4247474807604,0.34585964391250335
28,Tamaulipas,2004-07-15,2004,7,64.41519261520008,420.18054499142295,-31.766466345516662,-0.3302757166882614,59.658281135243726,0.16547738410697102
28,Tamaulipas,2004-08-15,2004,8,68.70943694686841,488.8899819382914,-16.91270936107206,-0.1975272764156766,42.74557177417171,0.09581106655230137
28,Tamaulipas,2004-09-15,2004,9,132.21572612612692,621.1057080644183,-7.760091827962782,-0.05543880322605433,34.9854799462089,0.05968993777698624
28,Tamaulipas,2004-10-15,2004,10,48.147969480496094,669.2536775449144,-21.988765869060295,-0.3135128226238345,12.996714077148567,0.01980430654552124
28,Tamaulipas,2004-11-15,2004,11,24.31934769239194,693.5730252373063,-0.6371594507925842,-0.025530794318971383,12.359554626356044,0.01814343837809212
28,Tamaulipas,2004-12-15,2004,12,14.371233605960692,707.944258843267,-6.513786790840987,-0.31188797842105553,5.845767835515062,0.00832613644721609
28,Tamaulipas,2005-01-15,2005,1,15.806008612014995,15.806008612014995,-7.373551220712585,-0.3181057480781733,-7.373551220712585,-0.3181057480781733
