date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Coahuila,05,Francisco I. Madero,05009,29893,29899,59792
2015,Coahuila,05,Frontera,05010,41437,40971,82408
2015,Coahuila,05,General Cepeda,05011,6674,6095,12769
2015,Coahuila,05,Guerrero,05012,1045,906,1951
2015,Coahuila,05,Hidalgo,05013,938,885,1823
2015,Coahuila,05,Jiménez,05014,5443,5233,10676
2015,Coahuila,05,Juárez,05015,850,793,1643
2015,Coahuila,05,Lamadrid,05016,971,922,1893
2015,Coahuila,05,Matamoros,05017,56624,56451,113075
2015,Coahuila,05,Monclova,05018,117690,118390,236080
2015,Coahuila,05,Morelos,05019,4463,4325,8788
2015,Coahuila,05,Múzquiz,05020,36107,35362,71469
2015,Coahuila,05,Nadadores,05021,3450,3358,6808
2015,Coahuila,05,Nava,05022,15892,15061,30953
2015,Coahuila,05,Ocampo,05023,6145,5647,11792
2015,Coahuila,05,Parras,05024,24306,23236,47542
2015,Coahuila,05,Piedras Negras,05025,83924,83238,167162
2015,Coahuila,05,Progreso,05026,1835,1716,3551
2015,Coahuila,05,Ramos Arizpe,05027,45554,43877,89431
2015,Coahuila,05,Sabinas,05028,32548,32442,64990
2015,Coahuila,05,Sacramento,05029,1243,1199,2442
2015,Coahuila,05,Saltillo,05030,400553,401680,802233
2015,Coahuila,05,San Buenaventura,05031,12017,11981,23998
2015,Coahuila,05,San Juan de Sabinas,05032,22184,22834,45018
2015,Coahuila,05,San Pedro,05033,54633,54503,109136
2015,Coahuila,05,Sierra Mojada,05034,3571,3284,6855
2015,Coahuila,05,Torreón,05035,339637,353786,693423
2015,Coahuila,05,Viesca,05036,11322,10964,22286
2015,Coahuila,05,Villa Unión,05037,3423,3232,6655
2015,Coahuila,05,Zaragoza,05038,6929,6814,13743
2015,Colima,06,Armería,06001,15271,15191,30462
2015,Colima,06,Colima,06002,76800,81010,157810
2015,Colima,06,Comala,06003,11300,11239,22539
2015,Colima,06,Coquimatlán,06004,10493,10401,20894
2015,Colima,06,Cuauhtémoc,06005,15320,15337,30657
2015,Colima,06,Ixtlahuacán,06006,2870,2844,5714
2015,Colima,06,Manzanillo,06007,92538,91210,183748
2015,Colima,06,Minatitlán,06008,4696,4374,9070
2015,Colima,06,Tecomán,06009,62599,61833,124432
2015,Colima,06,Villa de Álvarez,06010,66412,69958,136370
2015,Durango,10,Canatlán,10001,16655,16920,33575
2015,Durango,10,Canelas,10002,2430,2221,4651
